gbifID,kingdom,species,locality,occurrenceStatus,lat,long,xy_uncert_m,eventDate,collectionCode,issue
1838376240,Plantae,Hylocomium splendens,,PRESENT,49.776325,-123.147068,1394,2018-04-15T14:07:51Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1837135589,Animalia,Glaucidium californicum,"Cheekye, S of junction of Cheekye and Cheakamus Rivers, N of Squamish",PRESENT,49.79678,-123.158627,457,1929-01-17T00:00:00Z,Birds,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
183530905,Animalia,Sitta canadensis,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
183223209,Animalia,Regulus satrapa,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
183222824,Animalia,Regulus satrapa,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
182854899,Animalia,Poecile atricapillus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
182626698,Animalia,Pipilo maculatus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
182626157,Animalia,Pipilo maculatus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
181241642,Animalia,Melospiza melodia,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
181239230,Animalia,Melospiza melodia,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
180942266,Animalia,Loxia curvirostra,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
180942151,Animalia,Loxia curvirostra,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
180680367,Animalia,Junco hyemalis,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
1806365370,Plantae,Spiranthes romanzoffiana,,PRESENT,49.777218,-123.147554,171,2007-07-28T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806365357,Fungi,Lobaria pulmonaria,,PRESENT,49.791571,-123.130474,171,2010-01-31T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806363509,Plantae,Cornus unalaschkensis,,PRESENT,49.778105,-123.144379,171,2016-05-15T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806353152,Fungi,Dacrymyces chrysospermus,,PRESENT,49.777772,-123.144636,NA,2013-12-28T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806353131,Animalia,Haliaeetus leucocephalus,,PRESENT,49.789015,-123.145963,44,2017-12-30T14:22:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1806334532,Plantae,Vicia cracca,,PRESENT,49.778243,-123.145205,NA,2016-07-02T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806334521,Plantae,Achillea millefolium,,PRESENT,49.776996,-123.144722,NA,2016-07-02T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1806334285,Plantae,Rhododendron menziesii,,PRESENT,49.776387,-123.14249,686,2015-06-07T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
180620867,Animalia,Ixoreus naevius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
180620729,Animalia,Ixoreus naevius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
1805420666,Plantae,Maianthemum racemosum,,PRESENT,49.791267,-123.130774,NA,2017-05-28T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1805420631,Plantae,Impatiens glandulifera,,PRESENT,49.779158,-123.145559,85,2016-07-02T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1805420233,Plantae,Cornus nuttallii,,PRESENT,49.792846,-123.12923,171,2016-04-30T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1805419876,Plantae,Allotropa virgata,,PRESENT,49.776387,-123.142834,686,2015-06-07T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1805418442,Plantae,Platanthera orbiculata,,PRESENT,49.776886,-123.140988,NA,2016-07-03T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1804500575,Plantae,Salix sitchensis,Squamish River  Within five miles of Brackendale,PRESENT,49.7833,-123.133,NA,1916-06-09T00:00:00Z,CAN,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
180396765,Animalia,Haliaeetus leucocephalus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
179848795,Animalia,Dryocopus pileatus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
179427205,Animalia,Corvus corax,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
